32.86,117.4;0.001734867416,-0.00584185122999
31.62,117.87;0.002133298132,-0.00526785851
31.62,117.87;0.002133298132,-0.00526785851
31.89,117.47;0.001913008032,-0.00566482544001
31.7,118.11;0.001789146983,-0.0055629015
31.7,118.37;0.001816532154,-0.00542342662999
31.3,117.75;0.002039757163,-0.00546634197001
31.23,117.29;0.002055032301,-0.00546097754999
31.95,118.73;0.002021005221,-0.00519812106999
31.55,118.49;0.001924608943,-0.00524640083
31.14,119.17;0.001988113933,-0.00530004501
30.89,119.41;0.002048579228,-0.00533759594001
30.68,118.41;0.002177626172,-0.00534832478
30.91,118.32;0.002167819936,-0.00526249409
31.07,118.21;0.002109047969,-0.00528395176001
30.62,118.95;0.002525218268,-0.00494599341999
30.64,117.84;0.002492387274,-0.00525176524999
29.72,118.31;0.002455204195,-0.00514447689
29.81,118.19;0.002425071455,-0.00521957874
30.28,118.53;0.002547940595,-0.00498890877
30.07,118.57;0.002641584689,-0.00486016273001
29.88,118.44;0.00232569197,-0.00524103642
29.86,117.7;0.002549472296,-0.00528931618
29.93,117.92;0.002673208462,-0.00506937503999
30.28,118.13;0.002307041561,-0.00540733337
30.19,117.48;0.002420440502,-0.00547707081
31.04,116.94;0.002344128469,-0.00505328178001
30.69,117.21;0.002338862408,-0.00539660454001
30.41,116.63;0.002646342402,-0.00485479832001
30.12,116.69;0.002575286022,-0.0049674511
30.15,116.13;0.002342563422,-0.00526785851001
30.42,116.27;0.002479533214,-0.00505328178001
30.84,116.36;0.00216479798,-0.005235672
30.62,116.53;0.002488285899,-0.00496208668
30.08,116.99;0.002548475835,-0.00513374805
30.66,117.48;0.002307286501,-0.00551998614999
31.73,116.49;0.001957388893,-0.00519275665
32.32,116.27;0.002103492772,-0.00521957874001
32.57,116.78;0.002075061797,-0.00528395175999
31.7,117.15;0.001843917333,-0.00558435917
31.45,116.94;0.002169220948,-0.00509083271
31.38,116.32;0.001964745572,-0.00520348549
31.67,115.87;0.002164110973,-0.00512838364
32.89,115.81;0.001973028195,-0.00539124011999
33.86,116.76;0.00140321701,-0.00541269778999
33.49,116.21;0.001494271721,-0.0053858757
33.25,116.55;0.001785521276,-0.00513911247
33.12,116.19;0.001689328042,-0.00539660454
32.62,116.26;0.002055830852,-0.00524640082999
32.63,115.6;0.00224986923,-0.00527858734
33.06,115.24;0.001811873392,-0.00555753708001
33.24,115.34;0.001583820086,-0.00570237637
33.16,115.61;0.00192208480799,-0.0053268671
36.65,117.0;-0.000236711703003,-0.00580966472999
36.69,117.07;-0.000438763906004,-0.00607788563001
36.55,116.73;-0.000176686757001,-0.00565946102
36.72,117.53;-0.000236496357005,-0.00596523285
36.07,120.33;-0.000186449921998,-0.0050586462
36.15,120.42;-0.000298882289002,-0.00512301921999
35.88,119.97;5.21580140003e-05,-0.00511229038
36.38,120.45;-0.000332554413994,-0.00508546828999
36.28,120.0;-0.000129733226998,-0.00523030758001
36.78,118.05;-0.000476918810996,-0.00605106354
34.86,117.57;0.000977200778998,-0.00565409660001
35.09,117.17;0.000460892018005,-0.00589549541
37.46,118.49;-0.000817561824,-0.00585794449
37.59,118.54;-0.000697118757998,-0.00568091868999
37.49,118.25;-0.000774669675998,-0.00588476658
37.45,116.29;-0.000745273539998,-0.00575602055
37.64,116.8;-0.000730632932999,-0.00578820705
37.74,117.22;-0.000793280143995,-0.00611543655
37.31,117.15;-0.000831998941997,-0.00617980957
36.97,117.2;-0.000527164430999,-0.00605106354
36.95,116.66;-0.000325813612996,-0.00553607941001
36.95,116.0;-0.00042012782,-0.00576138496
37.34,116.58;-0.000516061021997,-0.00549852848
37.37,117.37;-0.000873966803006,-0.00629782676999
37.2,116.86;-0.000478565461997,-0.00563263893
36.79,116.76;-0.000339384716,-0.0057131052
37.16,116.44;-0.000752428407004,-0.00587940216001
