active_time,aerobic,calories,distance,steps,speed,time
32,True,1.79700005054,46,66,1.43799996376,1370851260
37,True,1.85899996758,46,68,1.24300003052,1370851380
53,True,2.60500001907,64,96,1.20799994469,1370851440
18,True,0.861999988556,21,32,1.16700005531,1370851500
18,True,0.922999978065,23,34,1.27799999714,1370851980
9,True,0.476999998093,12,17,1.33299994469,1370852040
20,True,1.07000005245,27,39,1.35000002384,1370852160
14,True,0.690999984741,17,25,1.21399998665,1370852220
30,True,1.55900001526,39,57,1.29999995232,1370852400
21,True,1.05200004578,26,39,1.23800003529,1370852520
15,True,0.763999998569,19,28,1.26699995995,1370852580
34,True,1.79200005531,45,66,1.32400000095,1370852640
12,True,0.635999977589,16,23,1.33299994469,1370852760
12,True,0.605000019073,15,22,1.25,1370852820
16,True,0.959999978542,25,34,1.56200003624,1370852940
14,True,0.629999995232,15,23,1.07099997997,1370853000
13,True,0.708999991417,18,25,1.38499999046,1370853060
14,True,0.722000002861,18,27,1.28600001335,1370853120
10,True,0.488999992609,12,18,1.20000004768,1370853180
3,True,0.12800000608,3,5,1.0,1370853240
50,True,2.75099992752,70,99,1.39999997616,1370853300
20,True,1.66400003433,36,46,1.79999995232,1370853360
29,True,1.42499995232,35,52,1.20700001717,1370853420
24,True,1.14999997616,28,42,1.16700005531,1370853480
34,True,1.8220000267,46,65,1.35300004482,1370853540
16,True,0.867999970913,22,32,1.375,1370853600
57,False,2.34899997711,54,88,0.947000026703,1370853660
59,False,2.31299996376,52,87,0.880999982357,1370853720
52,False,2.10400009155,48,79,0.922999978065,1370853780
41,False,1.72500002384,40,65,0.976000010967,1370853840
29,False,1.39400005341,34,52,1.17200005054,1370853900
13,False,0.465000003576,10,17,0.768999993801,1370853960
12,True,0.666000008583,17,24,1.41700005531,1370854920
20,True,1.07000005245,27,39,1.35000002384,1370855640
23,True,1.32099997997,34,46,1.47800004482,1370855700
22,True,1.0340000391,25,39,1.13600003719,1370855760
14,True,0.751999974251,19,27,1.35699999332,1370857320
11,True,0.592999994755,15,21,1.36399996281,1370857500
14,True,0.722000002861,18,26,1.28600001335,1370857560
29,True,1.90100002289,47,60,1.6210000515,1370857620
55,False,2.53800010681,61,94,1.10899996758,1370857680
60,False,2.75200009346,66,103,1.10000002384,1370857740
60,False,4.99300003052,108,127,1.79999995232,1370857800
48,False,2.39100003242,59,87,1.22899997234,1370857860
55,False,2.32399988174,54,87,0.981999993324,1370857920
60,False,2.53800010681,59,95,0.98299998045,1370857980
60,False,2.78299999237,67,104,1.11699998379,1370858040
59,False,2.86199998856,70,105,1.18599998951,1370858100
45,False,2.17100000381,53,79,1.1779999733,1370858160
40,False,1.98699998856,49,72,1.22500002384,1370858220
60,False,3.24099993706,82,119,1.36699998379,1370858280
26,False,0.0,33,49,1.26900005341,1370858340
20,False,0.887000024319,21,33,1.04999995232,1370858400
18,True,0.800999999046,19,30,1.05599999428,1370858580
16,True,0.806999981403,20,30,1.25,1370858640
22,True,0.911000013351,21,34,0.954999983311,1370859180
14,True,0.598999977112,14,22,1.0,1370859660
10,True,0.36700001359,8,14,0.800000011921,1370859720
9,True,0.384999990463,9,14,1.0,1370859900
25,True,1.16199994087,28,43,1.12000000477,1370860560
41,True,1.93900001049,47,72,1.14600002766,1370861040
21,True,1.02100002766,25,38,1.19000005722,1370861100
15,True,0.763999998569,19,28,1.26699995995,1370861160
11,True,0.532000005245,13,19,1.18200004101,1370861280
26,True,1.1740000248,28,44,1.07700002193,1370861820
9,True,0.507000029087,13,18,1.44400000572,1370862600
10,True,0.580999970436,15,21,1.5,1370862780
12,True,0.666000008583,17,23,1.41700005531,1370863500
12,True,0.697000026703,18,25,1.5,1370865660
10,True,0.488999992609,12,18,1.20000004768,1370866740
10,True,0.550000011921,14,20,1.39999997616,1370867580
28,True,1.38199996948,34,50,1.21399998665,1370867640
51,True,2.70300006866,68,97,1.33299994469,1370867700
33,False,1.65699994564,41,61,1.24199998379,1370867820
44,False,2.28099989891,57,83,1.29499995708,1370867880
60,False,3.14899992943,79,114,1.31700003147,1370867940
55,False,2.72099995613,67,100,1.21800005436,1370868000
49,False,2.34200000763,57,87,1.1629999876,1370868060
60,False,2.84400010109,69,106,1.14999997616,1370868120
40,False,2.04800009727,51,75,1.27499997616,1370868180
7,False,0.361000001431,9,13,1.28600001335,1370868240
14,False,0.722000002861,18,26,1.28600001335,1370868300
21,True,1.05200004578,26,39,1.23800003529,1370868360
8,True,0.433999985456,11,16,1.375,1370868420
13,True,0.648000001907,16,24,1.23099994659,1370868660
5,True,0.317999988794,8,11,1.60000002384,1370868720
26,True,1.29600000381,32,48,1.23099994659,1370868780
33,True,1.74899995327,44,64,1.33299994469,1370868840
22,True,1.24699997902,32,45,1.45500004292,1370868900
33,True,1.90100002289,49,69,1.48500001431,1370868960
18,True,0.953999996185,24,35,1.33299994469,1370869020
7,True,0.391000002623,10,14,1.42900002003,1370869080
20,True,0.0,22,34,1.10000002384,1370869140
52,True,2.59299993515,64,95,1.23099994659,1370869260
29,True,1.54700005054,39,56,1.34500002861,1370869320
7,True,0.391000002623,10,14,1.42900002003,1370869380
20,True,1.19200003147,31,42,1.54999995232,1370869440
35,True,1.83399999142,46,66,1.31400001049,1370869560
31,True,1.6629999876,42,61,1.35500001907,1370869620
9,True,0.446000009775,11,17,1.22200000286,1370869680
16,True,0.898999989033,23,32,1.43799996376,1370869740
2,True,0.115999996662,3,4,1.5,1370869800
60,True,3.24099993706,82,122,1.36699998379,1370869860
21,True,1.11300003529,28,41,1.33299994469,1370869920
8,True,0.372999995947,9,14,1.125,1370869980
23,True,1.19799995422,30,44,1.30400002003,1370870400
19,True,0.996999979019,25,37,1.31599998474,1370870460
8,True,0.465000003576,12,17,1.5,1370870520
18,True,0.861999988556,21,32,1.16700005531,1370870580
43,True,2.26799988747,57,82,1.3259999752,1370870940
35,True,1.80400002003,45,66,1.28600001335,1370871000
11,True,0.653999984264,17,23,1.54499995708,1370871720
10,True,0.580999970436,15,21,1.5,1370871840
36,True,1.90799999237,48,69,1.33299994469,1370872140
6,True,0.287000000477,7,10,1.16700005531,1370872260
19,True,0.84399998188,20,31,1.0529999733,1370872320
48,True,2.2990000248,56,84,1.16700005531,1370872680
29,True,0.0,36,53,1.24100005627,1370872740
11,True,0.532000005245,13,19,1.18200004101,1370872920
11,True,0.563000023365,14,21,1.27300000191,1370873580
21,True,1.11300003529,28,40,1.33299994469,1370873760
21,True,0.930000007153,22,35,1.04799997807,1370873940
21,True,1.23500001431,32,45,1.52400004864,1370874300
11,True,0.624000012875,16,22,1.45500004292,1370874660
12,True,0.697000026703,18,25,1.5,1370874720
10,True,0.488999992609,12,18,1.20000004768,1370874840
4,True,0.231999993324,6,8,1.5,1370874900
48,True,2.39100003242,59,88,1.22899997234,1370875260
55,True,3.08800005913,79,111,1.43599998951,1370875320
22,True,1.18599998951,30,43,1.36399996281,1370875380
9,True,0.476999998093,12,17,1.33299994469,1370875440
19,True,1.02699995041,26,37,1.36800003052,1370875560
25,True,1.22300004959,30,45,1.20000004768,1370875620
46,True,2.15300011635,52,80,1.12999999523,1370875680
30,True,1.49800002575,37,55,1.23300004005,1370875800
9,True,0.476999998093,12,18,1.33299994469,1370875860
10,True,0.488999992609,12,18,1.20000004768,1370875920
12,True,0.666000008583,17,24,1.41700005531,1370876220
11,True,0.653999984264,17,23,1.54499995708,1370881200
12,True,0.742999970913,19,26,1.58299994469,1370881260
43,True,2.54299998283,66,90,1.53499996662,1370882820
6,True,0.287000000477,7,10,1.16700005531,1370882880
16,True,1.54799997807,31,38,1.93799996376,1370882940
14,True,0.751999974251,19,27,1.35699999332,1370898180
26,True,1.32700002193,33,48,1.26900005341,1370899080
17,True,0.911000013351,23,33,1.35300004482,1370908500
22,True,1.30799996853,34,47,1.54499995708,1370908560
10,True,0.634999990463,16,22,1.60000002384,1370908620
24,True,1.17999994755,29,43,1.20799994469,1370908680
20,True,0.0,31,43,1.54999995232,1370908740
26,True,1.54100000858,40,56,1.5379999876,1370908800
19,True,1.02699995041,26,37,1.36800003052,1370908980
13,True,0.740000009537,19,26,1.4620000124,1370909040
26,True,1.20500004292,29,44,1.11500000954,1370909100
40,True,2.29299998283,59,83,1.47500002384,1370909160
15,True,0.856000006199,22,31,1.46700000763,1370909220
22,True,1.09500002861,27,40,1.22699999809,1370909280
40,True,2.04800009727,51,75,1.27499997616,1370909400
37,True,2.04200005531,52,73,1.40499997139,1370909460
18,True,0.893000006676,22,33,1.22200000286,1370909520
25,True,1.40600001812,36,50,1.44000005722,1370909580
19,True,1.05799996853,27,38,1.42100000381,1370909820
11,True,0.624000012875,16,22,1.45500004292,1370909940
10,True,0.550000011921,14,20,1.39999997616,1370910720
24,True,1.21099996567,30,45,1.25,1370911860
37,True,1.70599997044,41,63,1.10800004005,1370911980
20,True,0.977999985218,24,36,1.20000004768,1370912040
37,True,1.76699995995,43,65,1.16199994087,1370912160
22,True,1.09500002861,27,40,1.22699999809,1370912220
9,True,0.507000029087,13,19,1.44400000572,1370912280
59,True,0.0,85,120,1.44099998474,1370912340
12,True,0.635999977589,16,23,1.33299994469,1370912400
13,True,0.740000009537,19,26,1.4620000124,1370912460
25,True,1.34500002861,34,49,1.36000001431,1370912520
14,True,0.751999974251,19,28,1.35699999332,1370912580
16,True,0.867999970913,22,31,1.375,1370912640
14,True,0.782999992371,20,28,1.42900002003,1370912700
28,True,1.53499996662,39,55,1.39300000668,1370912760
24,True,1.36300003529,35,49,1.45799994469,1370912820
23,True,1.875,41,51,1.78299999237,1370912940
11,True,0.624000012875,16,23,1.45500004292,1370913000
56,True,2.64199995995,64,98,1.14300000668,1370913060
